Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
282,Apollo 13,Universal,30-Jun-95,25353380,"2,347",Action Thriller,2 hrs. 20 min.,PG,"$173,837,933 "
259,Indiana Jones and the Temple of Doom,Paramount,23-May-84,25337110,"1,687",Period Adventure,1 hrs. 58 min.,PG,"$179,870,271 "
444,Patch Adams,Universal,25-Dec-98,25262280,"2,909",Comedy / Drama,1 hrs. 55 min.,PG-13,"$135,026,902 "
515,Tomorrow Never Dies,MGM,19-Dec-97,25143007,"2,807",Action,1 hrs. 59 min.,PG-13,"$125,304,276 "
452,The Rock,Buena Vista,7-Jun-96,25069525,"2,426",Action,2 hrs. 16 min.,R,"$134,069,511 "
292,True Grit,Paramount,22-Dec-10,24830443,"3,464",Western,1 hrs. 50 min.,PG-13,"$171,243,005 "
1,Star Wars: The Force Awakens,Buena Vista,18-Dec-15,247966675,"4,134",Sci-Fi Fantasy,2 hrs. 16 min.,PG-13,"$936,662,225 "
388,Taken,Fox,30-Jan-09,24717037,"3,184",Action,1 hrs. 33 min.,PG-13,"$145,000,989 "
64,Forrest Gump,Paramount,6-Jul-94,24450602,"2,365",Comedy / Drama,2 hrs. 21 min.,PG-13,"$330,455,270 "
244,The Fugitive,Warner Bros.,6-Aug-93,23758855,"2,425",Action Thriller,2 hrs. 10 min.,PG-13,"$183,875,760 "
290,Mary Poppins Returns,Buena Vista,19-Dec-18,23523121,"4,090",Musical,2 hrs. 10 min.,PG,"$171,958,438 "
235,The Polar Express,Warner Bros.,10-Nov-04,23323463,"3,650",Animation,1 hrs. 40 min.,G,"$187,224,490 "
